
XFOIL
Airfoil = OSO-21
Re = 3e6
Ncrit = 9.0
X_trip_upper = 1.0
X_trip_lower = 1.0
 alpha      CL      CD        Re       CM     S_xtr   P_xtr
 11.000   1.8503  0.01139  12000000  -0.1553  0.1954  0.4996
 12.000   1.9327  0.01284  12000000  -0.1505  0.1682  0.5150
 13.000   1.9702  0.01526  12000000  -0.1379  0.1412  0.5208
 14.000   1.9944  0.01934  12000000  -0.1260  0.1129  0.5362
 15.000   2.0098  0.02548  12000000  -0.1167  0.0915  0.5413
 16.000   2.0049  0.03538  12000000  -0.1107  0.0751  0.5567
 17.000   1.9731  0.04912  12000000  -0.1065  0.0636  0.5623
 18.000   1.9301  0.06469  12000000  -0.1038  0.0568  0.5727
 19.000   1.8746  0.08239  12000000  -0.1026  0.0508  0.5821
 20.000   1.8333  0.09894  12000000  -0.1031  0.0456  0.5852
 21.000   1.8012  0.11488  12000000  -0.1053  0.0411  0.5991
 22.000   1.7914  0.12818  12000000  -0.1086  0.0368  0.6072
 23.000   1.7756  0.14251  12000000  -0.1138  0.0334  0.6167
 24.000   1.7812  0.15392  12000000  -0.1191  0.0310  0.6297
 25.000   1.7888  0.16499  12000000  -0.1252  0.0283  0.6383
 26.000   1.7952  0.17606  12000000  -0.1322  0.0254  0.6531
 27.000   1.8080  0.18605  12000000  -0.1393  0.0241  0.6627
 28.000   1.8179  0.19633  12000000  -0.1474  0.0219  0.6773
 29.000   1.8307  0.20590  12000000  -0.1556  0.0208  0.6897
 30.000   1.8394  0.21579  12000000  -0.1647  0.0188  0.7015

XFOIL
Airfoil = OSO-30
Re = 12e6
Ncrit = 3.0
X_trip_upper = 0.05
X_trip_lower = 0.05
 alpha      CL      CD        Re       CM     S_xtr   P_xtr
-------  -------  -------  --------  -------  ------  ------
-30.000  -1.3789  0.18906  12000000   0.0235  1.0000  0.0134
-29.000  -0.9666  0.16577  12000000  -0.0078  1.0000  0.0146
-28.000  -1.3416  0.16970  12000000   0.0066  1.0000  0.0147
-27.000  -1.3230  0.15981  12000000  -0.0010  1.0000  0.0160
-26.000  -1.3038  0.14989  12000000  -0.0079  1.0000  0.0172
-25.000  -1.2814  0.14033  12000000  -0.0141  1.0000  0.0178
-24.000  -1.2632  0.13056  12000000  -0.0196  0.6805  0.0195
-23.000  -1.2417  0.12087  12000000  -0.0247  0.6377  0.0207
-22.000  -1.2226  0.11093  12000000  -0.0292  0.6042  0.0225
-21.000  -1.2012  0.10138  12000000  -0.0330  0.5777  0.0240
-20.000  -1.1822  0.09168  12000000  -0.0364  0.5539  0.0265
-19.000  -1.1584  0.08258  12000000  -0.0392  0.5376  0.0285
-17.000  -1.1159  0.06461  12000000  -0.0443  0.0500  0.0343
-16.000  -1.0874  0.05666  12000000  -0.0459  0.0500  0.0382
-15.000  -1.0550  0.04928  12000000  -0.0471  0.0500  0.0429
-14.000  -1.0200  0.04233  12000000  -0.0481  0.0500  0.0481
-13.000  -0.9794  0.03594  12000000  -0.0489  0.0500  0.0500
-12.000  -0.9231  0.03106  12000000  -0.0497  0.0500  0.0500
-11.000  -0.8628  0.02668  12000000  -0.0504  0.0500  0.0500
-10.000  -0.8041  0.02249  12000000  -0.0505  0.0500  0.0500
 -9.000  -0.7587  0.01877  12000000  -0.0475  0.0500  0.0500
 -8.000  -0.6578  0.01616  12000000  -0.0528  0.0500  0.0500
 -7.000  -0.5316  0.01444  12000000  -0.0608  0.0500  0.0500
 -6.000  -0.3928  0.01319  12000000  -0.0702  0.0500  0.0500
 -5.000  -0.2479  0.01231  12000000  -0.0801  0.0500  0.0500
 -4.000  -0.1082  0.01188  12000000  -0.0877  0.0500  0.0500
 -3.000   0.0291  0.01163  12000000  -0.0943  0.0500  0.0500
 -2.000   0.1650  0.01150  12000000  -0.1004  0.0500  0.0500
 -1.000   0.2997  0.01146  12000000  -0.1061  0.0500  0.0500
  0.000   0.4330  0.01150  12000000  -0.1113  0.0500  0.0500
  1.000   0.5647  0.01161  12000000  -0.1162  0.0500  0.0500
  2.000   0.6947  0.01180  12000000  -0.1206  0.0500  0.0500
  3.000   0.8227  0.01204  12000000  -0.1246  0.0500  0.0500
  4.000   0.9483  0.01236  12000000  -0.1280  0.0500  0.0500
  5.000   1.0711  0.01275  12000000  -0.1309  0.0500  0.0500
  6.000   1.1905  0.01322  12000000  -0.1331  0.0500  0.0500
  7.000   1.3049  0.01377  12000000  -0.1343  0.0500  0.0500
  8.000   1.4120  0.01442  12000000  -0.1342  0.0500  0.0500
  9.000   1.5089  0.01523  12000000  -0.1322  0.0500  0.0500
 10.000   1.5739  0.01653  12000000  -0.1243  0.0500  0.0500
 11.000   1.6496  0.01829  12000000  -0.1196  0.0500  0.0500
 13.000   1.7723  0.02451  12000000  -0.1100  0.0474  0.0500
 16.000   1.8269  0.05222  12000000  -0.1038  0.0324  0.4881
 17.000   1.7950  0.06722  12000000  -0.1020  0.0297  0.4965
 19.000   1.7384  0.09776  12000000  -0.1020  0.0254  0.5113
 20.000   1.7174  0.11266  12000000  -0.1040  0.0236  0.5180
 21.000   1.7132  0.12557  12000000  -0.1070  0.0217  0.5234
 22.000   1.7173  0.13753  12000000  -0.1110  0.0204  0.5376
 23.000   1.7112  0.15083  12000000  -0.1167  0.0186  0.5408
 24.000   1.7215  0.16190  12000000  -0.1225  0.0175  0.5567
 25.000   1.7324  0.17265  12000000  -0.1290  0.0161  0.5621
 26.000   1.7461  0.18288  12000000  -0.1360  0.0152  0.5769
 27.000   1.7576  0.19324  12000000  -0.1438  0.0138  0.5842
 28.000   1.7733  0.20279  12000000  -0.1517  0.0133  0.5986
 29.000   1.7865  0.21238  12000000  -0.1602  0.0125  0.6071
 30.000   1.7966  0.22223  12000000  -0.1696  0.0113  0.6215

XFOIL
Airfoil = OSO-30
Re = 18e6
Ncrit = 9.0
X_trip_upper = 1.0
X_trip_lower = 1.0
 alpha      CL      CD        Re       CM     S_xtr   P_xtr
-------  -------  -------  --------  -------  ------  ------
-30.000  -1.4584  0.17786  18000000   0.0172  1.0000  0.0188
-29.000  -1.4433  0.16795  18000000   0.0088  1.0000  0.0202
-28.000  -1.4105  0.16037  18000000   0.0022  1.0000  0.0212
-27.000  -1.3950  0.15029  18000000  -0.0050  1.0000  0.0230
-26.000  -1.3736  0.14087  18000000  -0.0112  1.0000  0.0240
-23.000  -1.3255  0.11062  18000000  -0.0266  1.0000  0.0305
-22.000  -1.3104  0.10057  18000000  -0.0305  1.0000  0.0334
-21.000  -1.2936  0.09084  18000000  -0.0337  1.0000  0.0356
-20.000  -1.2895  0.07989  18000000  -0.0365  1.0000  0.0391
-19.000  -1.2697  0.07109  18000000  -0.0389  0.7552  0.0436
-18.000  -1.2470  0.06257  18000000  -0.0409  0.6743  0.0483
-17.000  -1.2235  0.05432  18000000  -0.0424  0.6268  0.0543
-16.000  -1.2075  0.04557  18000000  -0.0433  0.5950  0.0606
-15.000  -1.1806  0.03813  18000000  -0.0439  0.5695  0.0713
-14.000  -1.1565  0.03060  18000000  -0.0442  0.5463  0.0821
-13.000  -1.1317  0.02353  18000000  -0.0438  0.5240  0.0993
-12.000  -1.1275  0.01664  18000000  -0.0397  0.5107  0.1218
-11.000  -1.0281  0.01150  18000000  -0.0504  0.4934  0.1621
-10.000  -0.8683  0.00862  18000000  -0.0675  0.4738  0.2138
 -9.000  -0.7237  0.00771  18000000  -0.0766  0.4561  0.2482
 -8.000  -0.5820  0.00714  18000000  -0.0843  0.4370  0.2758
 -7.000  -0.4413  0.00669  18000000  -0.0915  0.4236  0.3056
 -6.000  -0.3039  0.00648  18000000  -0.0974  0.4127  0.3206
 -5.000  -0.1676  0.00638  18000000  -0.1031  0.3971  0.3339
 -4.000  -0.0330  0.00639  18000000  -0.1082  0.3843  0.3405
 -3.000   0.1026  0.00632  18000000  -0.1135  0.3755  0.3523
 -2.000   0.2364  0.00639  18000000  -0.1184  0.3603  0.3605
 -1.000   0.3704  0.00643  18000000  -0.1233  0.3516  0.3698
  0.000   0.5037  0.00649  18000000  -0.1279  0.3415  0.3800
  1.000   0.6357  0.00663  18000000  -0.1323  0.3285  0.3872
  2.000   0.7679  0.00672  18000000  -0.1367  0.3217  0.3992
  3.000   0.8982  0.00693  18000000  -0.1407  0.3085  0.4051
  4.000   1.0280  0.00712  18000000  -0.1446  0.3001  0.4185
  5.000   1.1567  0.00733  18000000  -0.1482  0.2909  0.4241
  6.000   1.2835  0.00765  18000000  -0.1515  0.2767  0.4386
  7.000   1.4083  0.00801  18000000  -0.1544  0.2664  0.4458
  8.000   1.5294  0.00854  18000000  -0.1566  0.2447  0.4589
  9.000   1.6427  0.00940  18000000  -0.1574  0.2144  0.4683
 10.000   1.7520  0.01029  18000000  -0.1575  0.1895  0.4791
 11.000   1.8499  0.01148  18000000  -0.1554  0.1623  0.4912
 12.000   1.9243  0.01318  18000000  -0.1492  0.1307  0.4994
 13.000   1.9543  0.01585  18000000  -0.1354  0.1063  0.5123
 14.000   1.9872  0.01967  18000000  -0.1251  0.0845  0.5199
 15.000   2.0099  0.02545  18000000  -0.1168  0.0690  0.5332
 16.000   2.0168  0.03432  18000000  -0.1114  0.0578  0.5407
 17.000   2.0077  0.04577  18000000  -0.1077  0.0509  0.5524
 18.000   1.9730  0.06032  18000000  -0.1048  0.0455  0.5611
 19.000   1.9225  0.07716  18000000  -0.1031  0.0413  0.5651
 20.000   1.8821  0.09338  18000000  -0.1031  0.0376  0.5785
 21.000   1.8492  0.10914  18000000  -0.1046  0.0346  0.5844
 22.000   1.8260  0.12403  18000000  -0.1077  0.0319  0.5941
 23.000   1.8209  0.13674  18000000  -0.1118  0.0288  0.6060
 24.000   1.8229  0.14843  18000000  -0.1167  0.0268  0.6128
 25.000   1.8301  0.15948  18000000  -0.1224  0.0247  0.6287
 26.000   1.8352  0.17059  18000000  -0.1290  0.0225  0.6343
 27.000   1.8364  0.18224  18000000  -0.1369  0.0214  0.6518
 28.000   1.8425  0.19296  18000000  -0.1450  0.0195  0.6576
 29.000   1.8682  0.20055  18000000  -0.1516  0.0184  0.6767
 30.000   1.8765  0.21039  18000000  -0.1604  0.0171  0.6863

XFOIL
Airfoil = OSO-30
Re = 18e6
Ncrit = 3.0
X_trip_upper = 0.05
X_trip_lower = 0.05
 alpha      CL      CD        Re       CM     S_xtr   P_xtr
-------  -------  -------  --------  -------  ------  ------
-30.000  -1.4159  0.18393  18000000   0.0205  1.0000  0.0119
-29.000  -1.3974  0.17437  18000000   0.0121  1.0000  0.0124
-28.000  -1.3794  0.16458  18000000   0.0041  1.0000  0.0134
-27.000  -1.3618  0.15469  18000000  -0.0032  1.0000  0.0142
-26.000  -1.3409  0.14506  18000000  -0.0098  1.0000  0.0148
-24.000  -1.3034  0.12555  18000000  -0.0211  0.6173  0.0172
-23.000  -1.2822  0.11601  18000000  -0.0258  0.5893  0.0180
-22.000  -1.2663  0.10588  18000000  -0.0300  0.5665  0.0200
-21.000  -1.2440  0.09654  18000000  -0.0336  0.5442  0.0209
-20.000  -1.2256  0.08693  18000000  -0.0367  0.5238  0.0231
-19.000  -1.2024  0.07799  18000000  -0.0394  0.5072  0.0250
-18.000  -1.1774  0.06938  18000000  -0.0416  0.4960  0.0268
-16.000  -1.1163  0.05400  18000000  -0.0454  0.0500  0.0325
-15.000  -1.0924  0.04589  18000000  -0.0465  0.0500  0.0357
-14.000  -1.0542  0.03932  18000000  -0.0473  0.0500  0.0401
-13.000  -1.0125  0.03322  18000000  -0.0479  0.0500  0.0454
-12.000  -0.9694  0.02739  18000000  -0.0483  0.0500  0.0500
-11.000  -0.9072  0.02333  18000000  -0.0487  0.0500  0.0500
-10.000  -0.8661  0.01914  18000000  -0.0457  0.0500  0.0500
 -9.000  -0.7785  0.01629  18000000  -0.0490  0.0500  0.0500
 -8.000  -0.6571  0.01435  18000000  -0.0566  0.0500  0.0500
 -7.000  -0.5209  0.01296  18000000  -0.0658  0.0500  0.0500
 -6.000  -0.3770  0.01197  18000000  -0.0756  0.0500  0.0500
 -5.000  -0.2348  0.01139  18000000  -0.0841  0.0500  0.0500
 -4.000  -0.0969  0.01109  18000000  -0.0909  0.0500  0.0500
 -3.000   0.0400  0.01091  18000000  -0.0972  0.0500  0.0500
 -2.000   0.1758  0.01081  18000000  -0.1031  0.0500  0.0500
 -1.000   0.3104  0.01079  18000000  -0.1087  0.0500  0.0500
  0.000   0.4438  0.01083  18000000  -0.1138  0.0500  0.0500
  1.000   0.5758  0.01094  18000000  -0.1187  0.0500  0.0500
  2.000   0.7062  0.01111  18000000  -0.1231  0.0500  0.0500
  3.000   0.8348  0.01135  18000000  -0.1271  0.0500  0.0500
  4.000   0.9613  0.01164  18000000  -0.1307  0.0500  0.0500
  5.000   1.0854  0.01200  18000000  -0.1338  0.0500  0.0500
  6.000   1.2066  0.01242  18000000  -0.1362  0.0500  0.0500
  7.000   1.3238  0.01292  18000000  -0.1379  0.0500  0.0500
  8.000   1.4353  0.01349  18000000  -0.1385  0.0500  0.0500
  9.000   1.5392  0.01418  18000000  -0.1377  0.0500  0.0500
 10.000   1.6159  0.01508  18000000  -0.1317  0.0500  0.0500
 11.000   1.6920  0.01655  18000000  -0.1263  0.0500  0.0500
 12.000   1.7548  0.01889  18000000  -0.1199  0.0445  0.0500
 13.000   1.8041  0.02255  18000000  -0.1134  0.0375  0.0500
 14.000   1.8628  0.02742  18000000  -0.1120  0.0325  0.4587
 15.000   1.8855  0.03545  18000000  -0.1084  0.0291  0.4675
 16.000   1.8877  0.04615  18000000  -0.1056  0.0264  0.4759
 17.000   1.8693  0.05936  18000000  -0.1034  0.0249  0.4808
 18.000   1.8290  0.07547  18000000  -0.1021  0.0230  0.4909
 19.000   1.8002  0.09067  18000000  -0.1020  0.0214  0.4973
 20.000   1.7728  0.10603  18000000  -0.1033  0.0203  0.5029
 21.000   1.7666  0.11898  18000000  -0.1057  0.0186  0.5140
 22.000   1.7500  0.13344  18000000  -0.1098  0.0173  0.5193
 23.000   1.7553  0.14506  18000000  -0.1144  0.0161  0.5313
 24.000   1.7649  0.15602  18000000  -0.1197  0.0154  0.5393
 25.000   1.7721  0.16722  18000000  -0.1260  0.0137  0.5499
 26.000   1.7856  0.17732  18000000  -0.1326  0.0133  0.5599
 27.000   1.7983  0.18741  18000000  -0.1398  0.0126  0.5701
 28.000   1.8088  0.19765  18000000  -0.1479  0.0113  0.5815
 29.000   1.8223  0.20716  18000000  -0.1562  0.0109  0.5916
 30.000   1.8335  0.21672  18000000  -0.1651  0.0103  0.6042
